epoch,train_loss,train_acc,test_loss,test_acc,best_test_acc
1,1.140854097427206,35.18666666666667,1.2792645515279566,58.3,58.3
2,1.1071062255412973,36.21333333333333,1.0910881618235975,44.93333333333333,58.3
3,1.0992823103640943,37.14,0.9899191425201741,63.93333333333333,63.93333333333333
4,1.099088387793683,37.26,1.1302345230224284,56.766666666666666,63.93333333333333
5,1.0964366928060003,37.22666666666667,1.0360765025970784,54.53333333333333,63.93333333333333
6,1.0933615354781454,37.21333333333333,0.9909561200344816,62.4,63.93333333333333
7,1.0921084287318779,37.89333333333333,0.9027245602709182,68.53333333333333,68.53333333333333
8,1.0927923821388408,38.053333333333335,0.9214390085098592,71.0,71.0
9,1.0930880206696532,37.43333333333333,0.9575922856939599,68.3,71.0
10,1.0912434978688017,37.693333333333335,0.9529476026271252,71.8,71.8
11,1.0911039743017643,38.053333333333335,0.9611360291217236,64.1,71.8
12,1.0896606399657878,38.00666666666667,0.9736164871682512,61.03333333333333,71.8
13,1.0909180509283187,37.986666666666665,0.9226269721984863,72.46666666666667,72.46666666666667
14,1.088649277991437,38.68,0.9137535450306344,67.36666666666666,72.46666666666667
15,1.0887124300003053,38.3,0.9373457089383551,68.2,72.46666666666667
