epoch,train_loss,train_acc,test_loss,test_acc,best_test_acc
1,1.1405394193973948,34.54,1.0532593879293888,42.63333333333333,42.63333333333333
2,1.1039836807453887,35.71333333333333,1.0467960986685245,52.666666666666664,52.666666666666664
3,1.1007008238041656,36.04666666666667,1.032147468404567,51.7,52.666666666666664
4,1.1000887505551602,36.8,1.1149952208742182,48.1,52.666666666666664
5,1.0992947015356511,37.2,1.0536817210785887,54.4,54.4
6,1.097121843885868,37.77333333333333,1.0128787413556526,66.96666666666667,66.96666666666667
7,1.096010705257984,38.14666666666667,1.027847925399212,57.43333333333333,66.96666666666667
8,1.097410102600747,37.166666666666664,1.0192388055172372,63.733333333333334,66.96666666666667
9,1.0980012908894965,36.38666666666666,1.0516814754364339,48.5,66.96666666666667
10,1.0961722480489853,37.76,1.0214800048381725,65.33333333333333,66.96666666666667
11,1.0968881591837456,37.45333333333333,1.0532837040880894,57.36666666666667,66.96666666666667
12,1.0949012208492197,38.153333333333336,1.0255500281110723,65.6,66.96666666666667
13,1.0938670143168023,38.06666666666667,1.0342669385544798,56.8,66.96666666666667
14,1.0944596924680345,38.29333333333334,1.0295677311876987,65.26666666666667,66.96666666666667
15,1.0934071140086397,38.61333333333334,1.0159143298230273,60.06666666666667,66.96666666666667
